Sl. No.,State/UT,Schemes,Expenditure (Rupees in Crore) - 2017-18,Expenditure (Rupees in Crore) - 2018-19,Expenditure (Rupees in Crore) - 2019-20,Expenditure (Rupees in Crore) - 2020-21,Expenditure (Rupees in Crore) - 2021-22
1,Bihar,"C. Pradhan Mantri Krishi Sinchai Yojana - Har Khet Ko Pani - Repair, Renovation and Restoration of water Bodies",NA,6.58,15.31,7.32,NA
2,Gujarat,"C. Pradhan Mantri Krishi Sinchai Yojana - Har Khet Ko Pani - Repair, Renovation and Restoration of water Bodies",NA,3.87,4.18,NA,NA
3,Madhya Pradesh,"C. Pradhan Mantri Krishi Sinchai Yojana - Har Khet Ko Pani - Repair, Renovation and Restoration of water Bodies",13.52,NA,NA,NA,NA
4,Manipur,"C. Pradhan Mantri Krishi Sinchai Yojana - Har Khet Ko Pani - Repair, Renovation and Restoration of water Bodies",NA,1.95,7.43,12.06,1.9
5,Meghalaya,"C. Pradhan Mantri Krishi Sinchai Yojana - Har Khet Ko Pani - Repair, Renovation and Restoration of water Bodies",NA,NA,3.48,NA,NA
6,Odisha,"C. Pradhan Mantri Krishi Sinchai Yojana - Har Khet Ko Pani - Repair, Renovation and Restoration of water Bodies",8.76,46.14,NA,NA,NA
7,Rajasthan,"C. Pradhan Mantri Krishi Sinchai Yojana - Har Khet Ko Pani - Repair, Renovation and Restoration of water Bodies",10.07,37.96,21.3,9.92,0.21
8,Tamil Nadu,"C. Pradhan Mantri Krishi Sinchai Yojana - Har Khet Ko Pani - Repair, Renovation and Restoration of water Bodies",3.26,19.52,NA,32.64,7.35
9,Telangana,"C. Pradhan Mantri Krishi Sinchai Yojana - Har Khet Ko Pani - Repair, Renovation and Restoration of water Bodies",44.88,69.07,36.29,NA,NA
Total,Total,Total,80.49,185.1,87.98,61.94,9.46
